president,year,majortopic
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,16
George W. Bush,2002,16
George W. Bush,2002,16
George W. Bush,2002,16
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,16
George W. Bush,2002,3
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,19
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,12
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,1
George W. Bush,2002,1
George W. Bush,2002,1
George W. Bush,2002,1
George W. Bush,2002,5
George W. Bush,2002,5
George W. Bush,2002,6
George W. Bush,2002,6
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,6
George W. Bush,2002,6
George W. Bush,2002,8
George W. Bush,2002,8
George W. Bush,2002,18
George W. Bush,2002,18
George W. Bush,2002,8
George W. Bush,2002,1
George W. Bush,2002,1
George W. Bush,2002,1
George W. Bush,2002,1
George W. Bush,2002,1
George W. Bush,2002,1
George W. Bush,2002,5
George W. Bush,2002,13
George W. Bush,2002,13
George W. Bush,2002,3
George W. Bush,2002,3
George W. Bush,2002,5
George W. Bush,2002,5
George W. Bush,2002,5
George W. Bush,2002,5
George W. Bush,2002,5
George W. Bush,2002,5
George W. Bush,2002,4
George W. Bush,2002,19
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,13
George W. Bush,2002,13
George W. Bush,2002,13
George W. Bush,2002,13
George W. Bush,2002,13
George W. Bush,2002,12
George W. Bush,2002,3
George W. Bush,2002,12
George W. Bush,2002,13
George W. Bush,2002,6
George W. Bush,2002,13
George W. Bush,2002,0
George W. Bush,2002,19
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,2
George W. Bush,2002,2
George W. Bush,2002,2
George W. Bush,2002,2
George W. Bush,2002,2
George W. Bush,2002,0
George W. Bush,2002,19
George W. Bush,2002,0
George W. Bush,2002,19
George W. Bush,2002,18
George W. Bush,2002,19
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
