Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
2001,February,13,Tuesday,NBC,1,20,11
2001,February,13,Tuesday,NBC,2,16,11
2001,February,14,Wednesday,ABC,1,20,11
2001,February,14,Wednesday,ABC,2,31,11
2001,February,14,Wednesday,CBS,1,16,11
2001,February,14,Wednesday,CBS,2,20,11
2001,February,14,Wednesday,NBC,1,20,11
2001,February,14,Wednesday,NBC,2,31,11
2001,February,15,Thursday,ABC,1,16,11
2001,February,15,Thursday,ABC,2,20,11
2001,February,15,Thursday,CBS,1,20,11
2001,February,15,Thursday,CBS,2,20,11
2001,February,15,Thursday,NBC,1,16,11
2001,February,15,Thursday,NBC,2,20,11
2001,February,16,Friday,ABC,1,16,11
2001,February,16,Friday,ABC,2,1,11
2001,February,16,Friday,CBS,1,16,11
2001,February,16,Friday,CBS,2,19,11
2001,February,16,Friday,NBC,1,16,11
2001,February,16,Friday,NBC,2,16,11
2001,February,19,Monday,ABC,1,30,11
2001,February,19,Monday,ABC,2,12,11
2001,February,19,Monday,CBS,1,7,11
2001,February,19,Monday,CBS,2,27,11
2001,February,19,Monday,NBC,1,30,11
2001,February,19,Monday,NBC,2,12,11
2001,February,20,Tuesday,ABC,1,16,11
2001,February,20,Tuesday,ABC,2,2,11
2001,February,20,Tuesday,CBS,1,16,11
2001,February,20,Tuesday,CBS,2,19,11
2001,February,20,Tuesday,NBC,1,16,11
2001,February,20,Tuesday,NBC,2,19,11
2001,February,21,Wednesday,ABC,1,20,11
2001,February,21,Wednesday,ABC,2,16,11
2001,February,21,Wednesday,CBS,1,20,11
2001,February,21,Wednesday,CBS,2,16,11
2001,February,21,Wednesday,NBC,1,20,11
2001,February,21,Wednesday,NBC,2,16,11
2001,February,22,Thursday,ABC,1,20,11
2001,February,22,Thursday,ABC,2,20,11
2001,February,22,Thursday,CBS,1,20,11
2001,February,22,Thursday,CBS,2,16,11
2001,February,22,Thursday,NBC,1,20,11
2001,February,22,Thursday,NBC,2,20,11
2001,February,23,Friday,ABC,1,20,11
2001,February,23,Friday,ABC,2,16,11
2001,February,23,Friday,CBS,1,16,11
2001,February,23,Friday,CBS,2,19,11
2001,February,23,Friday,NBC,1,20,11
2001,February,23,Friday,NBC,2,19,11
2001,February,26,Monday,ABC,1,20,11
2001,February,26,Monday,ABC,2,1,11
2001,February,26,Monday,CBS,1,20,11
2001,February,26,Monday,CBS,2,20,11
2001,February,26,Monday,NBC,1,20,11
2001,February,26,Monday,NBC,2,16,11
2001,February,27,Tuesday,ABC,1,1,11
2001,February,27,Tuesday,ABC,2,16,11
2001,February,27,Tuesday,CBS,1,1,11
2001,February,27,Tuesday,CBS,2,1,11
2001,February,27,Tuesday,NBC,1,20,11
2001,February,27,Tuesday,NBC,2,1,11
2001,February,28,Wednesday,ABC,1,26,11
2001,February,28,Wednesday,ABC,2,1,11
2001,February,28,Wednesday,CBS,1,26,11
2001,February,28,Wednesday,CBS,2,12,11
2001,February,28,Wednesday,NBC,1,26,11
2001,February,28,Wednesday,NBC,2,12,11
2001,March,1,Thursday,ABC,1,20,11
2001,March,1,Thursday,ABC,2,1,11
2001,March,1,Thursday,CBS,1,20,11
2001,March,1,Thursday,CBS,2,26,11
2001,March,1,Thursday,NBC,1,26,11
2001,March,1,Thursday,NBC,2,20,11
2001,March,2,Friday,ABC,1,19,11
2001,March,2,Friday,ABC,2,1,11
2001,March,2,Friday,CBS,1,1,11
2001,March,2,Friday,CBS,2,12,11
2001,March,2,Friday,NBC,1,26,11
2001,March,2,Friday,NBC,2,1,11
2001,March,5,Monday,ABC,1,20,11
2001,March,5,Monday,ABC,2,12,11
2001,March,5,Monday,CBS,1,12,11
2001,March,5,Monday,CBS,2,20,11
2001,March,5,Monday,NBC,1,20,11
2001,March,5,Monday,NBC,2,12,11
2001,March,6,Tuesday,ABC,1,12,11
2001,March,6,Tuesday,ABC,2,20,11
2001,March,6,Tuesday,CBS,1,12,11
2001,March,6,Tuesday,CBS,2,12,11
2001,March,6,Tuesday,NBC,1,20,11
2001,March,6,Tuesday,NBC,2,12,11
2001,March,7,Wednesday,ABC,1,12,11
2001,March,7,Wednesday,ABC,2,5,11
2001,March,7,Wednesday,CBS,1,12,11
2001,March,7,Wednesday,CBS,2,12,11
2001,March,7,Wednesday,NBC,1,12,11
2001,March,7,Wednesday,NBC,2,5,11
2001,March,8,Thursday,ABC,1,1,11
2001,March,8,Thursday,ABC,2,16,11
2001,March,8,Thursday,CBS,1,1,11
2001,March,8,Thursday,CBS,2,20,11
2001,March,8,Thursday,NBC,1,1,11
2001,March,8,Thursday,NBC,2,12,11
2001,March,9,Friday,ABC,1,12,11
2001,March,9,Friday,ABC,2,12,11
2001,March,9,Friday,CBS,1,12,11
2001,March,9,Friday,CBS,2,12,11
2001,March,9,Friday,NBC,1,12,11
2001,March,9,Friday,NBC,2,12,11
2001,March,12,Monday,ABC,1,1,11
2001,March,12,Monday,ABC,2,16,11
2001,March,12,Monday,CBS,1,1,11
