Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
1968,September,23,Monday,CBS,1,31,683
1968,September,23,Monday,CBS,2,31,683
1968,September,23,Monday,NBC,1,16,683
1968,September,23,Monday,NBC,2,16,683
1968,September,24,Tuesday,ABC,1,19,683
1968,September,24,Tuesday,ABC,2,31,683
1968,September,24,Tuesday,CBS,1,19,683
1968,September,24,Tuesday,CBS,2,16,683
1968,September,24,Tuesday,NBC,1,16,683
1968,September,24,Tuesday,NBC,2,19,683
1968,September,25,Wednesday,ABC,1,20,683
1968,September,25,Wednesday,ABC,2,19,683
1968,September,25,Wednesday,CBS,1,20,683
1968,September,25,Wednesday,CBS,2,16,683
1968,September,25,Wednesday,NBC,1,16,683
1968,September,25,Wednesday,NBC,2,31,683
1968,September,26,Thursday,ABC,1,20,683
1968,September,26,Thursday,ABC,2,20,683
1968,September,26,Thursday,CBS,1,31,683
1968,September,26,Thursday,CBS,2,31,683
1968,September,26,Thursday,NBC,1,31,683
1968,September,26,Thursday,NBC,2,31,683
1968,September,27,Friday,ABC,1,31,683
1968,September,27,Friday,ABC,2,31,683
1968,September,27,Friday,CBS,1,20,683
1968,September,27,Friday,CBS,2,16,683
1968,September,27,Friday,NBC,1,20,683
1968,September,27,Friday,NBC,2,19,683
1968,September,30,Monday,ABC,1,31,683
1968,September,30,Monday,ABC,2,14,683
1968,September,30,Monday,CBS,1,31,683
1968,September,30,Monday,CBS,2,31,683
1968,September,30,Monday,NBC,1,31,683
1968,September,30,Monday,NBC,2,31,683
1968,October,1,Tuesday,ABC,1,16,684
1968,October,1,Tuesday,ABC,2,99,684
1968,October,1,Tuesday,CBS,1,20,684
1968,October,1,Tuesday,CBS,2,16,684
1968,October,1,Tuesday,NBC,1,20,684
1968,October,1,Tuesday,NBC,2,16,684
1968,October,2,Wednesday,ABC,1,20,684
1968,October,2,Wednesday,ABC,2,31,684
1968,October,2,Wednesday,CBS,1,20,684
1968,October,2,Wednesday,CBS,2,20,684
1968,October,2,Wednesday,NBC,1,20,684
1968,October,2,Wednesday,NBC,2,19,684
1968,October,3,Thursday,ABC,1,19,684
1968,October,3,Thursday,ABC,2,19,684
1968,October,3,Thursday,CBS,1,19,684
1968,October,3,Thursday,CBS,2,19,684
1968,October,3,Thursday,NBC,1,31,684
1968,October,3,Thursday,NBC,2,31,684
1968,October,4,Friday,ABC,1,16,684
1968,October,4,Friday,ABC,2,16,684
1968,October,4,Friday,CBS,1,19,684
1968,October,4,Friday,CBS,2,19,684
1968,October,4,Friday,NBC,1,19,684
1968,October,4,Friday,NBC,2,31,684
1968,October,7,Monday,ABC,1,12,684
1968,October,7,Monday,ABC,2,12,684
1968,October,7,Monday,CBS,1,16,684
